key	状态	opt	cn	en	sp	fr	id	de	kr	zh	ru	ua	jp
TXT_Item_Name_15456	AI		葡萄牙加油（表情）	Go Portugal! (Emote)	¡Vamos Portugal! (Emote)	Allez Portugal! (Emote)	Ayo Portugal! (Emote)	Los Portugal! (Emote)	포르투갈 파이팅! (Emote)	葡萄牙加油（表情）	Вперёд, Португалия! (Emote)	Вперед, Португалія! (Emote)	がんばれポルトガル！ (Emote)
TXT_Item_Name_15457	AI		卡塔尔加油（表情）	Go Qatar! (Emote)	¡Vamos Catar! (Emote)	Allez Qatar! (Emote)	Ayo Qatar! (Emote)	Los Katar! (Emote)	카타르 파이팅! (Emote)	卡達加油（表情）	Вперёд, Катар! (Emote)	Вперед, Катар! (Emote)	がんばれカタール！ (Emote)
TXT_Item_Name_15458	AI		南非加油（表情）	Go South Africa! (Emote)	¡Vamos Sudáfrica! (Emote)	Allez Afrique du Sud! (Emote)	Ayo Afrika Selatan! (Emote)	Los Südafrika! (Emote)	남아프리카공화국 파이팅! (Emote)	南非加油（表情）	Вперёд, ЮАР! (Emote)	Вперед, ПАР! (Emote)	がんばれ南アフリカ！ (Emote)
TXT_Item_Name_15459	AI		苏格兰加油（表情）	Go Scotland! (Emote)	¡Vamos Escocia! (Emote)	Allez Écosse! (Emote)	Ayo Skotlandia! (Emote)	Los Schottland! (Emote)	스코틀랜드 파이팅! (Emote)	蘇格蘭加油（表情）	Вперёд, Шотландия! (Emote)	Вперед, Шотландія! (Emote)	がんばれスコットランド！ (Emote)
TXT_Item_Name_15460	AI		塞内加尔加油（表情）	Go Senegal! (Emote)	¡Vamos Senegal! (Emote)	Allez Sénégal! (Emote)	Ayo Senegal! (Emote)	Los Senegal! (Emote)	세네갈 파이팅! (Emote)	塞內加爾加油（表情）	Вперёд, Сенегал! (Emote)	Вперед, Сенегал! (Emote)	がんばれセネガル！ (Emote)
TXT_Item_Name_15461	AI		瑞士加油（表情）	Go Switzerland! (Emote)	¡Vamos Suiza! (Emote)	Allez Suisse! (Emote)	Ayo Swiss! (Emote)	Los Schweiz! (Emote)	스위스 파이팅! (Emote)	瑞士加油（表情）	Вперёд, Швейцария! (Emote)	Вперед, Швейцарія! (Emote)	がんばれスイス！ (Emote)
TXT_Item_Name_15462	AI		瑞典加油（表情）	Go Sweden! (Emote)	¡Vamos Suecia! (Emote)	Allez Suède! (Emote)	Ayo Swedia! (Emote)	Los Schweden! (Emote)	스웨덴 파이팅! (Emote)	瑞典加油（表情）	Вперёд, Швеция! (Emote)	Вперед, Швеція! (Emote)	がんばれスウェーデン！ (Emote)
TXT_Item_Name_15463	AI		突尼斯加油（表情）	Go Tunisia! (Emote)	¡Vamos Túnez! (Emote)	Allez Tunisie! (Emote)	Ayo Tunisia! (Emote)	Los Tunesien! (Emote)	튀니지 파이팅! (Emote)	突尼西亞加油（表情）	Вперёд, Тунис! (Emote)	Вперед, Туніс! (Emote)	がんばれチュニジア！ (Emote)
TXT_Item_Name_15464	AI		土耳其加油（表情）	Go Türkiye! (Emote)	¡Vamos Turquía! (Emote)	Allez Turquie! (Emote)	Ayo Turki! (Emote)	Los Türkei! (Emote)	튀르키예 파이팅! (Emote)	土耳其加油（表情）	Вперёд, Турция! (Emote)	Вперед, Туреччина! (Emote)	がんばれトルコ！ (Emote)
TXT_Item_Name_15465	AI		乌拉圭加油（表情）	Go Uruguay! (Emote)	¡Vamos Uruguay! (Emote)	Allez Uruguay! (Emote)	Ayo Uruguay! (Emote)	Los Uruguay! (Emote)	우루과이 파이팅! (Emote)	烏拉圭加油（表情）	Вперёд, Уругвай! (Emote)	Вперед, Уругвай! (Emote)	がんばれウルグアイ！ (Emote)
TXT_Item_Name_15466	AI		美国加油（表情）	Go USA! (Emote)	¡Vamos EE. UU.! (Emote)	Allez États-Unis! (Emote)	Ayo AS! (Emote)	Los USA! (Emote)	미국 파이팅! (Emote)	美國加油（表情）	Вперёд, США! (Emote)	Вперед, США! (Emote)	がんばれアメリカ！ (Emote)
TXT_Item_Name_15467	AI		乌兹别克斯坦加油（表情）	Go Uzbekistan! (Emote)	¡Vamos Uzbekistán! (Emote)	Allez Ouzbékistan! (Emote)	Ayo Uzbekistan! (Emote)	Los Usbekistan! (Emote)	우즈베키스탄 파이팅! (Emote)	烏茲別克加油（表情）	Вперёд, Узбекистан! (Emote)	Вперед, Узбекистан! (Emote)	がんばれウズベキスタン！ (Emote)
