# FConline瓦坎达 永恒评述直播切片 中期21:53 第1章普斯卡什起
# 抓取转写 2026-07-25

[00:00] 单狗相声只永恒切片,攻击他来了
[21:06] 都很明显的一张卡
[21:09] 怎么说呢
[21:10] 就是你要喜欢他还真的很强
[21:11] 然后他也不好防
[21:13] 但是你用不惯
[21:14] 他真是用不惯
[21:15] 然后我对他的评价
[21:16] 也就是介于用的惯和用不惯之间
[21:20] 这个卡是能传统
[21:20] 但是他跑不起来
[21:22] 或者说他跑起来的效率
[21:23] 没有你想象中那么好
[21:24] 反正就是介于用的惯和用不惯
[21:26] 介于牛逼和超级牛逼中间
[21:28] 我觉得这个卡就是会用的贼屌
[21:30] 不会用的人贼难受
[21:31] 你知道吧
[21:32] 他比坎通大强
[21:35] 他比坎通大强
[21:36] 那是真的
[21:36] 那他真的是比坎通大强
[21:38] 投球无敌对抗无敌
[21:40] 跑起来拉不住
[21:41] 对吧
[21:41] 捕射2点
[21:42] 我觉得一般
[21:43] 反正就是大家自己看吧
[21:45] 兄弟们就是
[21:46] 你肯定也懂我的意思
[21:47] 会用的人
[21:47] 用他将是神
[21:50] 不会用他的人
[21:50] 可能觉得真的很难用
